read_code,read_term,QOF,cat2,cat1
C1000,"Diabetes mellit: [juv type, no mention compl] or [insul dep]",No,Diabetes,comorbidities
C1001,"Diab mell: [adult ons, no ment comp][mat onset][non-ins dep]",No,Diabetes,comorbidities
C100z,Diabetes mellitus NOS with no mention of complication,No,Diabetes,comorbidities
C101.,Diabetic ketoacidosis,No,Diabetes,comorbidities
C101y,Other specified diabetes mellitus with ketoacidosis,No,Diabetes,comorbidities
C101z,Diabetes mellitus NOS with ketoacidosis,No,Diabetes,comorbidities
C102.,Diabetes mellitus with hyperosmolar coma,No,Diabetes,comorbidities
C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma",No,Diabetes,comorbidities
C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma",No,Diabetes,comorbidities
C102z,Diabetes mellitus NOS with hyperosmolar coma,No,Diabetes,comorbidities
C103.,Diabetes mellitus with ketoacidotic coma,No,Diabetes,comorbidities
C103y,Other specified diabetes mellitus with coma,No,Diabetes,comorbidities
C103z,Diabetes mellitus NOS with ketoacidotic coma,No,Diabetes,comorbidities
C104.,Diabetes mellitus: [with renal manifestatn] or [nephropathy],No,Diabetes,comorbidities
C1040,"Diabetes mellitus, juvenile type, with renal manifestation",No,Diabetes,comorbidities
C1041,"Diabetes mellitus, adult onset, with renal manifestation",No,Diabetes,comorbidities
C104y,Other specified diabetes mellitus with renal complications,No,Diabetes,comorbidities
C104z,Diabetes mellitus with nephropathy NOS,No,Diabetes,comorbidities
C105.,Diabetes mellitus with ophthalmic manifestation,No,Diabetes,comorbidities
C1050,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",No,Diabetes,comorbidities
C1051,"Diabetes mellitus, adult onset, + ophthalmic manifestation",No,Diabetes,comorbidities
C105y,Other specified diabetes mellitus with ophthalmic complicatn,No,Diabetes,comorbidities
C105z,Diabetes mellitus NOS with ophthalmic manifestation,No,Diabetes,comorbidities
C106.,Diab mell + neuro manif: (& [amyotroph][neurop][polyneurop]),No,Diabetes,comorbidities
C1060,"Diabetes mellitus, juvenile, + neurological manifestation",No,Diabetes,comorbidities
C1061,"Diabetes mellitus, adult onset, + neurological manifestation",No,Diabetes,comorbidities
C106y,Other specified diabetes mellitus with neurological comps,No,Diabetes,comorbidities
C106z,Diabetes mellitus NOS with neurological manifestation,No,Diabetes,comorbidities
C107.,Diabetes mellitus with: [gangrene] or [periph circul disord],No,Diabetes,comorbidities
C1070,"Diabetes mellitus, juvenile +peripheral circulatory disorder",No,Diabetes,comorbidities
C1071,"Diabetes mellitus, adult, + peripheral circulatory disorder",No,Diabetes,comorbidities
C1072,"Diabetes mellitus, adult with gangrene",No,Diabetes,comorbidities
C1073,IDDM with peripheral circulatory disorder,No,Diabetes,comorbidities
C1074,NIDDM with peripheral circulatory disorder,No,Diabetes,comorbidities
C107y,Other specified diabetes mellitus with periph circ comps,No,Diabetes,comorbidities
C107z,Diabetes mellitus NOS with peripheral circulatory disorder,No,Diabetes,comorbidities
C108B,Insulin dependent diabetes mellitus with mononeuropathy,No,Diabetes,comorbidities
C108C,Insulin dependent diabetes mellitus with polyneuropathy,No,Diabetes,comorbidities
C108G,Insulin dependent diab mell with peripheral angiopathy,No,Diabetes,comorbidities
C108y,Other specified diabetes mellitus with multiple comps,No,Diabetes,comorbidities
C108z,Unspecified diabetes mellitus with multiple complications,No,Diabetes,comorbidities
C1099,Non-insulin-dependent diabetes mellitus without complication,No,Diabetes,comorbidities
C10A.,Malnutrition-related diabetes mellitus,No,Diabetes,comorbidities
C10A0,Malnutrition-related diabetes mellitus with coma,No,Diabetes,comorbidities
C10A1,Malnutrition-related diabetes mellitus with ketoacidosis,No,Diabetes,comorbidities
C10A2,Malnutrition-related diabetes mellitus with renal complicatn,No,Diabetes,comorbidities
C10A3,Malnutrit-related diabetes mellitus wth ophthalmic complicat,No,Diabetes,comorbidities
C10A4,Malnutrition-related diabetes mellitus wth neuro complicatns,No,Diabetes,comorbidities
C10A5,Malnutritn-relat diabetes melitus wth periph circul complctn,No,Diabetes,comorbidities
C10A6,Malnutrition-related diabetes mellitus with multiple comps,No,Diabetes,comorbidities
C10A7,Malnutrition-related diabetes mellitus without complications,No,Diabetes,comorbidities
C10AW,Malnutrit-related diabetes mellitus with unspec complics,No,Diabetes,comorbidities
C10AX,Malnutrit-relat diabetes mellitus with other spec comps,No,Diabetes,comorbidities
C10B.,Diabetes mellitus induced by steroids,No,Diabetes,comorbidities
C10B0,Steroid induced diabetes mellitus without complication,No,Diabetes,comorbidities
C10J.,Insulin autoimmune syndrome,No,Diabetes,comorbidities
C10J0,Insulin autoimmune syndrome without complication,No,Diabetes,comorbidities
C10K.,Type A insulin resistance,No,Diabetes,comorbidities
C10K0,Type A insulin resistance without complication,No,Diabetes,comorbidities
C10L.,Fibrocalculous pancreatopathy,No,Diabetes,comorbidities
C10L0,Fibrocalculous pancreatopathy without complication,No,Diabetes,comorbidities
C10y.,Diabetes mellitus with other specified manifestation,No,Diabetes,comorbidities
C10y0,"Diabetes mellitus, juvenile, + other specified manifestation",No,Diabetes,comorbidities
C10y1,"Diabetes mellitus, adult, + other specified manifestation",No,Diabetes,comorbidities
C10yy,Other specified diabetes mellitus with other spec comps,No,Diabetes,comorbidities
C10yz,Diabetes mellitus NOS with other specified manifestation,No,Diabetes,comorbidities
C10z.,Diabetes mellitus with unspecified complication,No,Diabetes,comorbidities
C10z0,"Diabetes mellitus, juvenile type, + unspecified complication",No,Diabetes,comorbidities
C10z1,"Diabetes mellitus, adult onset, + unspecified complication",No,Diabetes,comorbidities
C10zy,Other specified diabetes mellitus with unspecified comps,No,Diabetes,comorbidities
C10zz,Diabetes mellitus NOS with unspecified complication,No,Diabetes,comorbidities
C11y0,Steroid induced diabetes,No,Diabetes,comorbidities
Cyu20,[X]Other specified diabetes mellitus,No,Diabetes,comorbidities
Cyu21,[X]Malnutrit-relat diabetes mellitus with other spec comps,No,Diabetes,comorbidities
Cyu22,[X]Malnutrit-related diabetes mellitus with unspec complics,No,Diabetes,comorbidities
Cyu23,[X]Unspecified diabetes mellitus with renal complications,No,Diabetes,comorbidities
E0304,"Acute confusional state, of cerebrovascular origin",No,Diabetes,comorbidities
E0314,"Subacute confusional state, of cerebrovascular origin",No,Diabetes,comorbidities
F1711,Diabetic autonomic neuropathy,No,Diabetes,comorbidities
F3450,Diabetic mononeuritis multiplex,No,Diabetes,comorbidities
F35z0,Diabetic mononeuritis NOS,No,Diabetes,comorbidities
F372.,Diabetic neuropathy &/or diabetic polyneuropathy,No,Diabetes,comorbidities
F3720,Acute painful diabetic neuropathy,No,Diabetes,comorbidities
F3721,Chronic painful diabetic neuropathy,No,Diabetes,comorbidities
F3722,Asymptomatic diabetic neuropathy,No,Diabetes,comorbidities
F3813,(Myasth syndr due to diab amyotroph) or (diab amyotroph),No,Diabetes,comorbidities
F3y0.,Diabetic mononeuropathy,No,Diabetes,comorbidities
F420.,Diabetic retinopathy,No,Diabetes,comorbidities
F4200,Background diabetic retinopathy,No,Diabetes,comorbidities
F4201,Proliferative diabetic retinopathy,No,Diabetes,comorbidities
F4202,Preproliferative diabetic retinopathy,No,Diabetes,comorbidities
F4203,Advanced diabetic maculopathy,No,Diabetes,comorbidities
F4204,Diabetic maculopathy,No,Diabetes,comorbidities
F4205,Advanced diabetic retinal disease,No,Diabetes,comorbidities
F4206,Non proliferative diabetic retinopathy,No,Diabetes,comorbidities
F4207,High risk proliferative diabetic retinopathy,No,Diabetes,comorbidities
F4208,High risk non proliferative diabetic retinopathy,No,Diabetes,comorbidities
F420z,Diabetic retinopathy NOS,No,Diabetes,comorbidities
F4407,Diabetic iritis,No,Diabetes,comorbidities
F4640,Diabetic cataract,No,Diabetes,comorbidities
L1805,"Pre-existing diabetes mellitus, insulin-dependent",No,Diabetes,comorbidities
L1806,"Pre-existing diabetes mellitus, non-insulin-dependent",No,Diabetes,comorbidities
L1807,Pre-existing malnutrition-related diabetes mellitus,No,Diabetes,comorbidities
Lyu29,"[X]Pre-existing diabetes mellitus, unspecified",No,Diabetes,comorbidities
X40J7,Malnutrition-related diabetes mellitus,No,Diabetes,comorbidities
X40J8,Malnutrition-related diabetes mellitus - fibrocalculous,No,Diabetes,comorbidities
X40J9,Malnutrition-related diabetes mellitus - protein-deficient,No,Diabetes,comorbidities
X40JK,Polyglandular autoimmune syndrome - type II,No,Diabetes,comorbidities
X40Ja,Abnormal metabolic state in diabetes mellitus,No,Diabetes,comorbidities
X40Jb,Diabetic severe hyperglycaemia,No,Diabetes,comorbidities
X40Jc,Poor glycaemic control,No,Diabetes,comorbidities
XE10E,"Diabetes mellitus, juvenile type, no mention of complication",No,Diabetes,comorbidities
XE10F,"Diabetes mellitus, adult onset, no mention of complication",No,Diabetes,comorbidities
XE10G,Diabetes mellitus with renal manifestation,No,Diabetes,comorbidities
XE10H,Diabetes mellitus with neurological manifestation,No,Diabetes,comorbidities
XE10I,Diabetes mellitus with peripheral circulatory disorder,No,Diabetes,comorbidities
XE128,Diabetes mellitus (& [ketoacidosis]),No,Diabetes,comorbidities
XE12A,Diabetes mellitus: [adult onset] or [noninsulin dependent],No,Diabetes,comorbidities
XE12C,Diabetes mellitus: [juvenile] or [insulin dependent],No,Diabetes,comorbidities
XE12G,Diabetes + eye manifestation (& [cataract] or [retinopathy]),No,Diabetes,comorbidities
XE12K,Diabetes: [peripheral circulatory disease] or [gangrene],No,Diabetes,comorbidities
XE12M,Diabetes with other complications,No,Diabetes,comorbidities
XM19j,[EDTA] Diabetes Type II associated with renal failure,No,Diabetes,comorbidities
XM1Qx,Diabetes mellitus with gangrene,No,Diabetes,comorbidities
XSETI,Fibrocalculous pancreatic diabetes,No,Diabetes,comorbidities
Xa3ee,Diabetes with ketoacidosis - no coma,No,Diabetes,comorbidities
XaCJ2,Diabetic hyperosmolar non-ketotic state,No,Diabetes,comorbidities
XaIfG,Type II diabetes on insulin,No,Diabetes,comorbidities
XaIfI,Type II diabetes on diet only,No,Diabetes,comorbidities
XaJlP,Fibrocalculous pancreatopathy without complication,No,Diabetes,comorbidities
14P3.,H/O: insulin therapy,No,Diabetes,comorbidities
42W1.,Hb. A1C < 7% - good control,No,Diabetes,comorbidities
42W2.,Hb. A1C 7-10% - borderline,No,Diabetes,comorbidities
42W3.,Hb. A1C > 10% - bad control,No,Diabetes,comorbidities
42WZ.,Hb. A1C - diabetic control NOS,No,Diabetes,comorbidities
42c0.,HbA1 less than 7% - good control,No,Diabetes,comorbidities
42c1.,HbA1 7-10% - borderline control,No,Diabetes,comorbidities
66A3.,Diabetic on diet only,No,Diabetes,comorbidities
66A5.,Diabetic on insulin,No,Diabetes,comorbidities
66AG.,Diabetic drug side effects,No,Diabetes,comorbidities
66AH.,Diabetic treatment changed,No,Diabetes,comorbidities
66AH0,Conversion to insulin,No,Diabetes,comorbidities
66AI.,Diabetic - good control,No,Diabetes,comorbidities
66AJ.,Diabetic - poor control (& unstable),No,Diabetes,comorbidities
66AJ0,Chronic hyperglycaemia,No,Diabetes,comorbidities
66AJ2,Loss of hypoglycaemic warning,No,Diabetes,comorbidities
66AJ3,Recurrent severe hypos,No,Diabetes,comorbidities
66AJz,Diabetic - poor control NOS,No,Diabetes,comorbidities
66AK.,Diabetic - cooperative patient,No,Diabetes,comorbidities
66AL.,Diabetic-uncooperative patient,No,Diabetes,comorbidities
66AM.,Diabetic - follow-up default,No,Diabetes,comorbidities
66AN.,Date diabetic treatment start,No,Diabetes,comorbidities
66AP.,Diabetes: practice programme,No,Diabetes,comorbidities
66AQ.,Diabetes: shared care programme,No,Diabetes,comorbidities
66AR.,Diabetes management plan given,No,Diabetes,comorbidities
66AS.,Diabetic annual review,No,Diabetes,comorbidities
66AT.,Annual diabetic blood test,No,Diabetes,comorbidities
7L100,Continuous subcutaneous infusion of insulin,No,Diabetes,comorbidities
8A12.,Diabetic crisis monitoring,No,Diabetes,comorbidities
8A13.,Diabetic stabilisation,No,Diabetes,comorbidities
8H2J.,Admit diabetic emergency,No,Diabetes,comorbidities
8H3O.,Non-urgent diabetic admission,No,Diabetes,comorbidities
8HKE.,Diabetology domiciliary visit requested,No,Diabetes,comorbidities
8HLE.,Diabetology D.V. done,No,Diabetes,comorbidities
8HME.,Listed for Diabetology admissn,No,Diabetes,comorbidities
9OL4.,Diabetes monitoring first letter,No,Diabetes,comorbidities
9OL5.,Diabetes monitoring second letter,No,Diabetes,comorbidities
9OL6.,Diabetes monitoring third letter,No,Diabetes,comorbidities
9OL7.,Diabetes monitoring verbal invite,No,Diabetes,comorbidities
9OL8.,Diabetes monitoring telephone invite,No,Diabetes,comorbidities
C110.,Coma: [hypoglycaemic] or [insulin],No,Diabetes,comorbidities
C110z,Hypoglycaemic coma NOS,No,Diabetes,comorbidities
G73y0,Diabetic peripheral angiopathy,No,Diabetes,comorbidities
K01x1,Nephrotic syndrome in diabetes mellitus,No,Diabetes,comorbidities
Kyu03,[X]Glomerular disorders in diabetes mellitus,No,Diabetes,comorbidities
M0372,Cellulitis in diabetic foot,No,Diabetes,comorbidities
M2710,Ischaemic ulcer diabetic foot,No,Diabetes,comorbidities
M2711,Neuropathic diabetic ulcer - foot,No,Diabetes,comorbidities
M2712,Mixed diabetic ulcer - foot,No,Diabetes,comorbidities
N0300,Diabetic hand syndrome,No,Diabetes,comorbidities
N0301,Diabetic neuropathic arthropathy,No,Diabetes,comorbidities
Q441.,Neonatal diabetes mellitus,No,Diabetes,comorbidities
R0542,[D]Gangrene of toe in diabetic,No,Diabetes,comorbidities
R0543,[D]Widespread diabetic foot gangrene,No,Diabetes,comorbidities
X00Ag,Diabetic neuropathy,No,Diabetes,comorbidities
X00Ah,Diabetic distal sensorimotor polyneuropathy,No,Diabetes,comorbidities
X00Ai,Diabetic acute painful polyneuropathy,No,Diabetes,comorbidities
X00Aj,Diabetic chronic painful polyneuropathy,No,Diabetes,comorbidities
X00Ak,Diabetic asymmetric polyneuropathy,No,Diabetes,comorbidities
X00Al,Diabetic mononeuropathy,No,Diabetes,comorbidities
X00Am,Diabetic truncal radiculopathy,No,Diabetes,comorbidities
X00An,Diabetic thoracic radiculopathy,No,Diabetes,comorbidities
X00dF,Visually threatening diabetic retinopathy,No,Diabetes,comorbidities
X00dG,Diabetic maculopathy,No,Diabetes,comorbidities
X00dH,Proliferative diabetic retinopathy new vessels on disc,No,Diabetes,comorbidities
X00dI,Proliferative diabet retinop new vessel elsewhere than disc,No,Diabetes,comorbidities
X00dJ,Diabetic traction retinal detachment,No,Diabetes,comorbidities
X30Kk,Diabetic nephropathy,No,Diabetes,comorbidities
X30Kl,Microalbuminuric diabetic nephropathy,No,Diabetes,comorbidities
X30Km,Proteinuric diabetic nephropathy,No,Diabetes,comorbidities
X40JV,"Hypogonadism,diab mell,alopec,ment retar electro abnorm",No,Diabetes,comorbidities
X40JW,"Megaloblastic anaemia,diab mell and sensorineural deafness",No,Diabetes,comorbidities
X40JX,"Pineal hyperplasia,ins res diab mell and somatic abnorm",No,Diabetes,comorbidities
X40Je,Acute hyperglycaemia,No,Diabetes,comorbidities
X40Jj,Pregnancy and insulin-dependent diabetes mellitus,No,Diabetes,comorbidities
X40Jk,Pregnancy and non-insulin-dependent diabetes mellitus,No,Diabetes,comorbidities
X40Jo,Insulin coma,No,Diabetes,comorbidities
X40Jq,Hypoglycaemic event in diabetes,No,Diabetes,comorbidities
X40Jr,Hypoglycaemic state in diabetes,No,Diabetes,comorbidities
X40Js,Somogyi phenomenon,No,Diabetes,comorbidities
X40Jt,Nocturnal hypoglycaemia,No,Diabetes,comorbidities
X40KG,Insulin resistance in diabetes,No,Diabetes,comorbidities
X50E7,Insulin lipohypertrophy,No,Diabetes,comorbidities
X50GO,Soft tissue complication of diabetes mellitus,No,Diabetes,comorbidities
X50GP,Diabetic dermopathy,No,Diabetes,comorbidities
X50GQ,Diabetic bulla,No,Diabetes,comorbidities
X50GR,Diabetic thick skin syndrome,No,Diabetes,comorbidities
X50GT,Diabetic rubeosis,No,Diabetes,comorbidities
XE10J,Hypoglycaemic coma,No,Diabetes,comorbidities
XE12E,Diabetes + nephropathy (& [Kimmelstiel-Wilson syndrome]),No,Diabetes,comorbidities
XE12I,Diabetes + neuropathy (& [amyotrophy]),No,Diabetes,comorbidities
XE12Q,Hypoglycaemic coma (& [insulin]),No,Diabetes,comorbidities
XE15k,Diabetic polyneuropathy,No,Diabetes,comorbidities
XE15n,Myasthenic syndrome due to diabetic amyotrophy,No,Diabetes,comorbidities
XE1T2,Diabetic monitoring - injection sites,No,Diabetes,comorbidities
XE1T3,Diabetic - poor control,No,Diabetes,comorbidities
XE1V0,Diabetic treatment changed (& [date]),No,Diabetes,comorbidities
XE1V2,Diabetic - poor control (& [unstable]),No,Diabetes,comorbidities
XE24t,Hb. A1C - diabetic control,No,Diabetes,comorbidities
XM0cY,Diabetes treatment satisfaction questionnaire,No,Diabetes,comorbidities
XM0cZ,Diabetes wellbeing questionnaire,No,Diabetes,comorbidities
XM0q4,Diabetic coma,No,Diabetes,comorbidities
XM19i,[EDTA]Diabetes Type I associated with renal failure,No,Diabetes,comorbidities
Xa0lK,Diabetic (femoral mononeuropathy) & (Diabetic amyotrophy),No,Diabetes,comorbidities
Xa1J5,Diabetic foot,No,Diabetes,comorbidities
Xa9FG,Postpancreatectomy hypoinsulinaemia,No,Diabetes,comorbidities
XaBLf,O/E - Right diabetic foot at risk,No,Diabetes,comorbidities
XaBLg,O/E - Left diabetic foot at risk,No,Diabetes,comorbidities
XaBZQ,Subcutaneous injection of insulin,No,Diabetes,comorbidities
XaBul,Retinal abnormality - diabetes-related,No,Diabetes,comorbidities
XaBun,Foot abnormality - diabetes-related,No,Diabetes,comorbidities
XaBwj,H/O: Admission in last year for diabetes foot problem,No,Diabetes,comorbidities
XaCES,HbA1 - diabetic control,No,Diabetes,comorbidities
XaCET,HbA1 less than 7% - good control,No,Diabetes,comorbidities
XaCEU,HbA1 7-10% - borderline control,No,Diabetes,comorbidities
XaCEV,HbA1 greater than 10% - bad control,No,Diabetes,comorbidities
XaCGh,Diabetes monitoring invitation,No,Diabetes,comorbidities
XaD2T,Advanced diabetic retinal disease,No,Diabetes,comorbidities
XaE4q,Attending diabetes clinic,No,Diabetes,comorbidities
XaE5T,Mild non proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaE5U,Moderate non proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaE5V,Severe non proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaE5W,Proliferative diabetic retinopathy - non high risk,No,Diabetes,comorbidities
XaE5X,Proliferative diabetic retinopathy - high risk,No,Diabetes,comorbidities
XaE5Y,Proliferative diabetic retinopathy - quiescent,No,Diabetes,comorbidities
XaE5Z,Proliferative diabetic retinopathy - iris neovascularisation,No,Diabetes,comorbidities
XaE5a,Diabetic vitreous haemorrhage,No,Diabetes,comorbidities
XaE5c,Diabetic macular oedema,No,Diabetes,comorbidities
XaEHw,[V]Admitted for conversion to insulin,No,Diabetes,comorbidities
XaEHx,[V]Admitted for commencement of insulin,No,Diabetes,comorbidities
XaEJQ,Seen in diabetic eye clinic,No,Diabetes,comorbidities
XaEVO,Diffuse diabetic maculopathy,No,Diabetes,comorbidities
XaEVP,Focal diabetic maculopathy,No,Diabetes,comorbidities
XaEVS,Ischaemic diabetic maculopathy,No,Diabetes,comorbidities
XaEVT,Mixed diabetic maculopathy,No,Diabetes,comorbidities
XaEgI,Diabetic on insulin and oral treatment,No,Diabetes,comorbidities
XaFsp,Diabetes resolved,No,Diabetes,comorbidities
XaFvk,Diabetic weight reducing diet,No,Diabetes,comorbidities
XaFx7,Diab mellit insulin-glucose infus acute myocardial infarct,No,Diabetes,comorbidities
XaIIe,Diabetes care by hospital only,No,Diabetes,comorbidities
XaIIj,Diabetic retinopathy screening,No,Diabetes,comorbidities
XaIP5,Non proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaIPk,O/E - diabetic maculopathy present both eyes,No,Diabetes,comorbidities
XaIQS,Refer to diabetic foot screener,No,Diabetes,comorbidities
XaIW8,High risk non proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaIeH,O/E - Right diabetic foot at low risk,No,Diabetes,comorbidities
XaIeI,O/E - Right diabetic foot at high risk,No,Diabetes,comorbidities
XaIeJ,O/E - Right diabetic foot - ulcerated,No,Diabetes,comorbidities
XaIeK,O/E - Left diabetic foot - ulcerated,No,Diabetes,comorbidities
XaIeL,O/E - Left diabetic foot at low risk,No,Diabetes,comorbidities
XaIeM,O/E - Left diabetic foot at high risk,No,Diabetes,comorbidities
XaIeR,O/E - Left diabetic foot at moderate risk,No,Diabetes,comorbidities
XaIeS,O/E - Right diabetic foot at moderate risk,No,Diabetes,comorbidities
XaIeT,Diabetic foot risk assessment,No,Diabetes,comorbidities
XaIeU,Diabetic pre-pregnancy counselling,No,Diabetes,comorbidities
XaIeo,Diabetes: shared care in pregnancy - diabetol and obstet,No,Diabetes,comorbidities
XaIfM,Diabetes medication review,No,Diabetes,comorbidities
XaIuE,Diabetic foot examination,No,Diabetes,comorbidities
XaIyt,Diabetic peripheral neuropathy screening,No,Diabetes,comorbidities
XaIyz,Diabetes mellitus with persistent microalbuminuria,No,Diabetes,comorbidities
XaIz0,Diabetes mellitus with persistent proteinuria,No,Diabetes,comorbidities
XaJ4Q,Exception reporting: diabetes quality indicators,No,Diabetes,comorbidities
XaJ4h,Excepted from diabetes qual indicators: Patient unsuitable,No,Diabetes,comorbidities
XaJ4i,Excepted from diabetes quality indicators: Informed dissent,No,Diabetes,comorbidities
XaJ5j,Patient on maximal tolerated therapy for diabetes,No,Diabetes,comorbidities
XaJEN,Seen in diabetic foot clinic,No,Diabetes,comorbidities
XaJLa,Diabetic retinopathy 12 month review,No,Diabetes,comorbidities
XaJLb,Diabetic retinopathy 6 month review,No,Diabetes,comorbidities
XaJO3,Under care of diabetologist,No,Diabetes,comorbidities
XaJO9,Under care of diabetic foot screener,No,Diabetes,comorbidities
XaJOD,Diabetic retinopathy screening not indicated,No,Diabetes,comorbidities
XaJOE,Diabetic foot examination not indicated,No,Diabetes,comorbidities
XaJOO,Patient held diabetic record issued,No,Diabetes,comorbidities
XaJOg,O/E - right eye background diabetic retinopathy,No,Diabetes,comorbidities
XaJOh,O/E - left eye background diabetic retinopathy,No,Diabetes,comorbidities
XaJOi,O/E - right eye preproliferative diabetic retinopathy,No,Diabetes,comorbidities
XaJOj,O/E - left eye preproliferative diabetic retinopathy,No,Diabetes,comorbidities
XaJOk,O/E - right eye proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaJOl,O/E - left eye proliferative diabetic retinopathy,No,Diabetes,comorbidities
XaJOn,O/E - right eye diabetic maculopathy,No,Diabetes,comorbidities
XaJOo,O/E - left eye diabetic maculopathy,No,Diabetes,comorbidities
XaJUH,Insulin autoimmune syndrome,No,Diabetes,comorbidities
XaJYg,Diabetes clinical management plan,No,Diabetes,comorbidities
XaJix,Diabetic foot examination declined,No,Diabetes,comorbidities
XaJkQ,Diabetic retinopathy screening refused,No,Diabetes,comorbidities
XaJlI,Pan retinal photocoagulation for diabetes,No,Diabetes,comorbidities
XaKDG,O/E - right eye stable treated prolif diabetic retinopathy,No,Diabetes,comorbidities
XaKDH,O/E - left eye stable treated prolif diabetic retinopathy,No,Diabetes,comorbidities
XaKGs,Patient diabetes education review,No,Diabetes,comorbidities
XaKGy,Referral to diabetes structured education programme,No,Diabetes,comorbidities
XaKH0,Attended diabetes structured education programme,No,Diabetes,comorbidities
XaKHD,Transition of diabetes care options discussed,No,Diabetes,comorbidities
XaKHh,O/E - right chronic diabetic foot ulcer,No,Diabetes,comorbidities
XaKHi,O/E - left chronic diabetic foot ulcer,No,Diabetes,comorbidities
XaKSn,Diabetes care plan agreed,No,Diabetes,comorbidities
XaKSp,Patient offered diabetes structured education programme,No,Diabetes,comorbidities
XaKT5,Diabetic patient unsuitable for digital retinal photography,No,Diabetes,comorbidities
XaKaW,Diabetic retinopathy screening offered,No,Diabetes,comorbidities
XaKbu,Discharged from care of diabetes specialist nurse,No,Diabetes,comorbidities
XaKcS,O/E - sight threatening diabetic retinopathy,No,Diabetes,comorbidities
XaKjW,Diabetic monitoring - injection site check declined,No,Diabetes,comorbidities
XaKjX,Diabetic monitoring - injection site not checked,No,Diabetes,comorbidities
XaKjY,Hypoglycaemic warning impaired,No,Diabetes,comorbidities
XaKjZ,Hypoglycaemic warning good,No,Diabetes,comorbidities
XaKtr,Insulin therapy declined,No,Diabetes,comorbidities
XaKvV,Insulin needles changed daily,No,Diabetes,comorbidities
XaKvW,Insulin needles changed for each injection,No,Diabetes,comorbidities
XaKwQ,Diabetic 6 month review,No,Diabetes,comorbidities
XaL1R,Insulin needles changed less than once a day,No,Diabetes,comorbidities
XaL1S,Did not attend diabetic retinopathy clinic,No,Diabetes,comorbidities
XaLMa,Referral to diabetic register,No,Diabetes,comorbidities
XaLMy,Patient consent given for addition to diabetic register,No,Diabetes,comorbidities
XaLP3,Referral to diabetic eye clinic,No,Diabetes,comorbidities
XaLsL,Diabetic digital retinopathy screening offered,No,Diabetes,comorbidities
XaMFF,Referral for diabetic retinopathy screening,No,Diabetes,comorbidities
XaMdq,Insulin dose changed,No,Diabetes,comorbidities
XaMhJ,Diabetes type 1 review,No,Diabetes,comorbidities
XaMhK,Diabetes type II review,No,Diabetes,comorbidities
XaN1z,Attend diabetes educ self manage ongo new diagn struct prog,No,Diabetes,comorbidities
XaNHW,Di struc educ prog co ([Di struc ed prog co] SNO map type),No,Diabetes,comorbidities
XaNT8,Attended XPERT diabetes structured education programme,No,Diabetes,comorbidities
XaNTA,Attended DAFNE diabetes structured education programme,No,Diabetes,comorbidities
XaNTB,DAFNE diabetes structured education programme completed,No,Diabetes,comorbidities
XaNTC,DESMOND structured programme completed,No,Diabetes,comorbidities
XaNTD,XPERT diabetes structured education programme completed,No,Diabetes,comorbidities
XaNTH,Diabetes structured education programme declined,No,Diabetes,comorbidities
XaNTQ,Referral to DAFNE diabetes structured education programme,No,Diabetes,comorbidities
XaNTS,Referral to DESMOND diabetes structured programme,No,Diabetes,comorbidities
XaNTT,Referral to XPERT diabetes structured education programme,No,Diabetes,comorbidities
XaNTa,Did not attend diabetes structured education programme,No,Diabetes,comorbidities
XaNTd,Did not complete diabetes structured education programme,No,Diabetes,comorbidities
XaNTe,Did not complete DAFNE diabetes structured education program,No,Diabetes,comorbidities
XaNTf,Did not complete DESMOND structured programme,No,Diabetes,comorbidities
XaNTg,Did not complet XPERT diabetes structured education programm,No,Diabetes,comorbidities
XaNU1,Did not attend DAFNE diabetes structured education programme,No,Diabetes,comorbidities
XaNU2,Did not attend DESMOND structured programme,No,Diabetes,comorbidities
XaNU3,Did not attend XPERT diabetes structured education programme,No,Diabetes,comorbidities
XaP5E,Insulin initiation enhanced services administration,No,Diabetes,comorbidities
XaP63,Insulin treatment initiated,No,Diabetes,comorbidities
XaPQH,Diabetic foot screen,No,Diabetes,comorbidities
XaPaa,Eligible for diabetic retinopathy screening,No,Diabetes,comorbidities
XaPab,Ineligible for diabetic retinopathy screening,No,Diabetes,comorbidities
XaPac,Eligibility temporarily inactive for diabetic retinop screen,No,Diabetes,comorbidities
XaPad,Eligibility permanently inactive for diabetic retinop screen,No,Diabetes,comorbidities
XaPem,Diabetic retinopathy screening administrative status,No,Diabetes,comorbidities
XaPen,Impaired vision due to diabetic retinopathy,No,Diabetes,comorbidities
XaPjH,Excluded from diabetic retinopathy screening as moved away,No,Diabetes,comorbidities
XaPjI,Excluded from diabetic retinopathy screening as deceased,No,Diabetes,comorbidities
XaPjJ,Excluded diabetc retinop screen as under care ophthalmolgist,No,Diabetes,comorbidities
XaPjK,Excluded from diabetic retinopathy screening as blind,No,Diabetes,comorbidities
